date,scenario,interval,L_scen_kwh,G_scen_kwh
2025-07-15,3,34,689.099134424763,114.82739220383698
2025-07-15,3,35,739.0708218855717,148.17398305371853
2025-07-15,3,36,867.6102682765433,188.8195197606051
2025-07-15,3,37,893.5431210977918,236.64809811711928
2025-07-15,3,38,861.5442971075098,263.06637574464463
2025-07-15,3,39,855.5639784648473,274.47535241834555
2025-07-15,3,40,886.4480515067498,311.21070021172073
2025-07-15,3,41,875.2215494261136,378.23731516860937
2025-07-15,3,42,835.6095244064014,444.80652807473336
2025-07-15,3,43,804.7545542024935,475.2998561079096
2025-07-15,3,44,834.6116994261137,511.593138217547
2025-07-15,3,45,856.3989980640418,568.3481068792177
2025-07-15,3,46,867.2845078250571,622.8394955758866
2025-07-15,3,47,903.3208056913297,684.8494900446557
2025-07-15,3,48,1115.4440671576276,745.6719138360698
2025-07-15,3,49,1168.4370361336373,781.9051046870829
2025-07-15,3,50,1121.322775789281,817.4150682496029
2025-07-15,3,51,1122.3750509968384,868.3274872793191
2025-07-15,3,52,1099.666342897601,930.7792198573444
2025-07-15,3,53,1131.1523825665547,972.2360201997648
2025-07-15,3,54,1157.343065601437,1027.435183703782
2025-07-15,3,55,1177.4445463077564,1144.62059399584
2025-07-15,3,56,1173.143632969291,1187.5200854103662
2025-07-15,3,57,1168.5620697355216,1157.895310045553
2025-07-15,3,58,1175.7405711503297,1198.529160045429
2025-07-15,3,59,1182.347656033417,1229.5708530824556
2025-07-15,3,60,1173.4771333285776,1220.5549143759035
2025-07-15,3,61,1186.8345165093392,1227.668023724723
2025-07-15,3,62,1173.090024258877,1212.4148183748034
2025-07-15,3,63,1137.970423881317,1190.9695902570718
2025-07-15,3,64,1128.1264146527888,1223.5202487262395
2025-07-15,3,65,1139.0654572308233,1244.5604148170612
2025-07-15,3,66,1165.2647670332665,1236.672452962949
2025-07-15,3,67,1170.0060308897412,1249.1872631135545
2025-07-15,3,68,1174.0213515512244,1296.5987123118828
2025-07-15,3,69,1197.7594982344312,1337.9994609446064
2025-07-15,3,70,1161.9158139363924,1328.8082393436437
2025-07-15,3,71,1112.3876069223654,1342.662044280403
2025-07-15,3,72,1131.7296672512234,1414.4269200091258
2025-07-15,3,73,1122.2468256383809,1497.817127464454
2025-07-15,3,74,1103.7851123634696,1478.155744220673
2025-07-15,3,75,1059.5035671594296,1379.7831133412062
2025-07-15,3,76,1111.6770278633871,1347.8304233391239
2025-07-15,3,77,1126.9828034757916,1382.5339041083696
2025-07-15,3,78,1169.5999443196488,1406.1495749371288
2025-07-15,3,79,1172.9009516398999,1340.6668068014574
2025-07-15,3,80,1169.6453295119131,1268.6992493523946
2025-07-15,3,81,1189.9771520713325,1247.2072356961446
2025-07-15,3,82,1201.0674093040511,1259.4381263573503
2025-07-15,3,83,1224.3181808204765,1250.7008361023516
2025-07-15,3,84,1230.2244448788178,1207.7862558154739
2025-07-15,3,85,1211.4181945922037,1163.15561025612
2025-07-15,3,86,1196.3686936653007,1136.2726951750215
2025-07-15,3,87,1197.7920347357453,1133.0242948737366
2025-07-15,3,88,1203.8707233970074,1142.3763440701146
2025-07-15,3,89,1216.84102061291,1138.9917711609144
2025-07-15,3,90,1230.9993545890034,1123.6619987971244
2025-07-15,3,91,1231.8810173355046,1111.644185370026
2025-07-15,3,92,1218.5517019971871,1064.2690016413537
2025-07-15,3,93,1204.5339904378209,975.8959251903186
2025-07-15,3,94,1263.2733708332403,890.1922903544712
2025-07-15,3,95,1286.99160145898,835.801593102431
2025-07-15,3,96,1259.7201950828119,796.519365728861
2025-07-15,3,97,1270.7276965397705,736.3077511818217
2025-07-15,3,98,1258.4601596765144,680.6463989317745
2025-07-15,3,99,1205.5775812784486,637.6478119182298
2025-07-15,3,100,1187.5615094945729,585.3296149846307
2025-07-15,3,101,1192.2592846982802,521.236901269499
2025-07-15,3,102,1212.3037286929468,452.15880426180985
2025-07-15,3,103,1287.7678504049004,389.09987767708424
2025-07-15,3,104,1307.0172938571848,340.60127523168734
2025-07-15,3,105,1263.3100748782358,305.10324496034195
2025-07-15,3,106,1272.6435309162418,272.4776406890446
2025-07-15,3,107,1186.5759643676997,235.1317602270421
