date,cost_plan_R1,cost_plan_R2,diff,cost_emergency
2025-11-18,57350.60164548787,56392.72613603348,957.8755094543885,2118.7231091487324
2025-11-19,58519.91248840102,56835.60990357638,1684.302584824647,1477.4895798644397
2025-11-20,58303.100977336224,58040.954703616466,262.146273719758,1183.5062863101825
2025-11-21,44041.64694004055,43332.09437390212,709.5525661384308,0.0
2025-11-22,16483.419185451552,16191.312708651794,292.10647679975773,1013.2951721888068
2025-11-23,58840.12539337929,57837.26596959265,1002.8594237866419,2322.2762970373315
2025-11-24,59172.05702011778,58597.56267067004,574.4943494477411,1250.7545446209747
2025-11-25,58878.2148370716,58559.54955562175,318.66528144985205,1176.4698970311035
2025-11-26,59935.18926118261,58887.186292747574,1048.0029684350375,1428.8571549488588
2025-11-27,59878.13153153316,58524.579245368666,1353.5522861644931,1799.787013709182
2025-11-28,16677.148372977197,22165.39055524373,-5488.242182266535,756.0381716228819
2025-11-29,16892.34909605429,16729.789839069766,162.55925698452484,5056.676283220443
2025-11-30,63646.37213405924,47308.28493658469,16338.087197474546,1868.4225075793306
2025-12-01,67268.03175843063,61914.56598822068,5353.46577020995,20048.713548863416
2025-12-02,70371.05415501662,69375.59933569864,995.4548193179799,12489.88623744938
2025-12-03,73422.9221528169,73230.04090753681,192.88124528009212,2446.4161142642815
2025-12-04,75243.80760210259,75536.43752823159,-292.6299261289969,1494.8334286884003
2025-12-05,21653.26397268739,28232.80762347699,-6579.543650789601,3641.0868597115864
2025-12-06,25175.443119458705,22617.915248951373,2557.5278705073324,3043.8620919751324
2025-12-07,75200.11822860921,57692.822070068934,17507.296158540274,2124.5779740823154
2025-12-08,77950.88967697296,77256.48512370665,694.4045532663149,777.1087411092271
2025-12-09,74560.49740133231,74827.17808547936,-266.6806841470534,2636.900152426212
2025-12-10,74489.40869167779,73335.15033340469,1154.2583582731022,3504.0202762169756
2025-12-11,73248.5226008515,73889.91214641227,-641.3895455607708,1028.3647044438992
2025-12-12,25130.18009652871,32665.59617573158,-7535.416079202871,1756.0418242131882
2025-12-13,25487.651546583722,25123.558084977223,364.09346160649875,931.9812737965102
2025-12-14,77275.7702833401,76100.80017046526,1174.970112874842,1443.9862269513142
2025-12-15,76525.20968124017,75053.4148568341,1471.794824406068,1434.4332253195732
2025-12-16,77383.00833745625,76716.55543944289,666.4528980133618,1400.5570101334565
2025-12-17,76121.5834981995,75364.93502092756,756.6484772719414,1195.7809382454566
2025-12-18,74785.27665453659,74708.34542872236,76.93122581423086,992.1930384690926
2025-12-19,24506.76639072672,31770.934809959756,-7264.168419233036,1771.6747066434568
2025-12-20,24903.826017457133,24756.412767937036,147.41324952009745,1368.524561718438
2025-12-21,74813.8688383926,56759.31521744673,18054.553620945873,3871.8319703976404
2025-12-22,74797.36446874615,73489.23783008296,1308.1266386631905,2381.8157441157496
2025-12-23,73641.50432366262,72871.06481526961,770.439508393014,453.97738816845407
2025-12-24,73879.29962963023,73683.38509401534,195.9145356148947,1438.9616521328317
2025-12-25,73918.63325426722,73049.97969812537,868.6535561418423,2508.8091680530506
2025-12-26,24479.83387570385,31731.90575904595,-7252.071883342098,1014.6521713863369
2025-12-27,18095.63814015157,18524.163288421485,-428.5251482699168,21158.891626644494
2025-12-28,76024.20742170591,76861.54181726737,-837.3343955614546,346.63549352557027
2025-12-29,77853.21562376425,77700.1604362115,153.05518755274534,108.78759303107745
2025-12-30,74084.86373376696,74415.23952095665,-330.37578718968143,410.5222680771755
2025-12-31,77536.37422222755,76904.64953850003,631.7246837275161,1890.1894880763998
