date,i,n_pool,max_block_day,trunc_load,trunc_pv,trunc_price,mean_abs_dev_load,mean_abs_dev_pv,mean_abs_dev_price,cold_start
2025-08-07,218,30,216,0,266,0,12.504506289118263,9.92400832658773,0.02455907365493711,0
2025-08-08,219,30,217,0,289,0,8.345502011623877,4.726789335365142,0.015178879569130475,0
2025-08-09,220,30,217,0,280,13,5.494413515158105,4.910045133438704,0.012829592629025763,0
2025-08-10,221,30,220,0,278,0,7.64328642041317,5.2816037663441096,0.020757802720463712,0
2025-08-11,222,30,221,0,424,0,8.739791070687339,7.594336644945083,0.026556406001363983,0
2025-08-12,223,30,222,0,409,0,10.26529509826181,5.330207862522039,0.018167029575372456,0
2025-08-13,224,30,223,0,221,0,6.619457661567902,4.009196911922081,0.027422381566643544,0
2025-08-14,225,30,223,0,350,0,7.831982642911957,4.460300878439124,0.01689769105430698,0
2025-08-15,226,30,224,0,499,0,7.075649541947739,2.6839056588708194,0.03321147365954217,0
2025-08-16,227,30,226,0,664,28,6.8928296449920525,6.3842468536239885,0.027482009873299375,0
2025-08-17,228,30,227,0,364,0,5.731834539836371,8.971309381709283,0.035152703336551815,0
2025-08-18,229,30,226,0,392,0,6.016238163704599,6.688273018019735,0.0247051947079795,0
2025-08-19,230,30,229,0,416,0,5.09997818664352,5.360575995407213,0.02502336225223771,0
2025-08-20,231,30,230,0,351,0,5.196072821939712,8.396260554031212,0.02769608380959534,0
2025-08-21,232,30,229,0,627,0,5.641276331502363,6.300110351141327,0.023759981662864103,0
2025-08-22,233,30,232,0,314,0,4.778611836364707,12.166607856260184,0.04822491364167003,0
2025-08-23,234,30,232,0,389,52,4.750531482462256,5.997368993116273,0.04030495857338948,0
2025-08-24,235,30,233,0,338,0,5.06786705550684,7.419786589698611,0.038805634240166635,0
2025-08-25,236,30,234,0,472,0,4.727177846798863,6.3443436801238455,0.03740242654619708,0
2025-08-26,237,30,236,0,369,0,4.87862343300059,3.7023263835605746,0.02538268882135048,0
2025-08-27,238,30,237,0,529,0,5.252147774508857,5.861128849142506,0.016304464297323705,0
2025-08-28,239,30,238,0,451,0,5.119583274719239,5.0927196512343675,0.009950989223484967,0
2025-08-29,240,30,239,0,455,21,5.901285346949075,8.417277578270834,0.013104502801385746,0
2025-08-30,241,30,240,0,283,48,5.556490820726235,7.279537145055277,0.032106803590105856,0
2025-08-31,242,30,241,0,625,0,6.120922757365617,12.00398827647898,0.013492587256090321,0
2025-09-01,243,30,242,0,343,0,5.7066085653256335,8.586858228797844,0.031362991325903894,0
2025-09-02,244,30,242,0,431,0,6.742319650432141,10.329314243109422,0.026181520441555486,0
2025-09-03,245,30,244,0,748,0,6.589210780858823,6.170575213891748,0.019227638571529742,0
2025-09-04,246,30,245,0,252,0,6.078992178335414,7.178890768823564,0.013631554172609006,0
2025-09-05,247,30,246,0,169,0,5.91230944979957,5.216477602264973,0.014575216801594614,0
2025-09-06,248,30,247,0,192,38,6.771862686621977,5.661682249016479,0.030076492262960792,0
2025-09-07,249,30,247,0,429,84,10.413852864738049,4.2747130173959995,0.04518618813473058,0
2025-09-08,250,30,248,0,202,0,12.072930120004665,8.012264511050951,0.033510632794861966,0
2025-09-09,251,30,250,0,126,0,11.006450063963008,6.853306458844936,0.029851889510448665,0
2025-09-10,252,30,251,0,155,0,8.333746046917879,7.381758885522888,0.01807712090467873,0
2025-09-11,253,30,252,0,146,0,4.885299405443739,7.02506047799064,0.028650431175239164,0
2025-09-12,254,30,252,0,218,0,5.675239603140771,6.255988450380902,0.014055455975800293,0
2025-09-13,255,30,254,0,247,82,9.570930308027966,11.801569652709603,0.03251918724063065,0
2025-09-14,256,30,254,0,156,46,6.593902362972472,9.764356333719492,0.01579955523343453,0
2025-09-15,257,30,256,0,163,0,5.515397054360381,10.089699987066508,0.020446512556740515,0
2025-09-16,258,30,257,0,230,0,5.522106393245465,8.97188333732054,0.020580067212400893,0
2025-09-17,259,30,254,0,272,0,9.572718991776162,5.370437124334402,0.031872041779215085,0
2025-09-18,260,30,257,0,222,0,6.981129582093636,15.125028141815623,0.01692971602700258,0
2025-09-19,261,30,260,0,162,0,5.60031609029234,7.580562163814894,0.016880121583607816,0
